No,Ni,Fe,Cr,Hardness,EN_avg,delta_EN,R_avg,delta_R,VEC_avg,delta_VEC,ea_avg,delta_ea,G,delta_G
1,0.202388662,0.464764035,0.332838981,8.666432636,1.829489672,0.107904827,1.259081168,0.006515379,7.739032783,1.439736388,1.028984947,0.087364825,91.768672,0.180477744
2,0.200572258,0.480412992,0.319010281,7.832441153,1.828798148,0.105463821,1.259018285,0.006453913,7.763088205,1.422047695,1.03058692,0.086264192,91.3235393,0.179155878
3,0.204540062,0.501414153,0.294045786,7.941700316,1.828125036,0.101373997,1.25878568,0.006419353,7.820988552,1.400820578,1.034273455,0.084835042,90.47627056,0.176749407
4,0.224958564,0.4704274,0.304613463,8.457736635,1.830180191,0.104288456,1.258532235,0.006665129,7.840685613,1.446688798,1.03514509,0.087460366,90.70244586,0.17916628
5,0.227302525,0.490640476,0.282057008,7.682179991,1.829466498,0.100454037,1.25833757,0.006613051,7.890491103,1.423181617,1.038335876,0.085913165,89.94406681,0.176575307
6,0.227708617,0.512285568,0.260005814,6.590132424,1.828616922,0.096519184,1.258176703,0.006540071,7.935405606,1.395236643,1.041247192,0.084099708,89.21394017,0.173396876
7,0.262707349,0.497256242,0.240045493,7.449506744,1.830634758,0.094547829,1.257488446,0.00677819,8.045396382,1.417376856,1.047701432,0.085030586,88.34600202,0.171888783
8,0.238898692,0.520153808,0.2409475,6.738598379,1.828749795,0.09357378,1.257864253,0.006575126,7.995902385,1.385412566,1.044955681,0.083290106,88.51787534,0.170773756
9,0.159736146,0.521409366,0.318920338,7.857543405,1.825654235,0.103223223,1.259759635,0.005962606,7.682158417,1.34657879,1.026180475,0.082170157,91.57135396,0.176612115
10,0.162034986,0.532414593,0.305607663,8.207673158,1.825290143,0.101073343,1.25961882,0.005954471,7.71331259,1.337207186,1.028154957,0.081520478,91.1175369,0.175460434
11,0.165165652,0.547938487,0.286939948,7.216084891,1.824770207,0.098002438,1.259421479,0.00593887,7.756804104,1.322538927,1.03091232,0.080508999,90.48163952,0.173536931
12,0.181315769,0.523280464,0.295403767,7.011501744,1.826321412,0.100343698,1.259166774,0.00616177,7.771824004,1.361915511,1.031542245,0.082737874,90.6604297,0.17552153
13,0.179909638,0.546269599,0.273820763,7.063815013,1.825345602,0.096474075,1.259038191,0.006077443,7.81217775,1.334033136,1.034193361,0.080960655,89.95662735,0.172702713
14,0.181267268,0.563843107,0.254889625,6.778880364,1.824696966,0.093151957,1.258883951,0.006031261,7.852755285,1.312610592,1.036803748,0.079541357,89.32375403,0.169954898
15,0.205445428,0.5277571,0.266797472,7.481428219,1.827107533,0.096598238,1.258580455,0.006339063,7.877295912,1.368910262,1.037915326,0.08275704,89.571644,0.173174965
16,0.212205277,0.540950479,0.246844244,6.71410836,1.826850192,0.093326021,1.258332625,0.006339703,7.930722067,1.353291784,1.041252829,0.081626213,88.87262838,0.170356219
17,0.202403202,0.575750941,0.221845857,6.611969294,1.82506609,0.088157306,1.25831447,0.006147853,7.96111469,1.302107587,1.043424391,0.078454032,88.10649407,0.165096157
18,0.231934725,0.54969148,0.218373796,6.847241312,1.82728973,0.088981014,1.257817661,0.006425133,8.027121858,1.341826548,1.047124226,0.080552202,87.81472691,0.165942026
19,0.233266992,0.571578467,0.195152922,6.270128887,1.826464562,0.084533325,1.257631759,0.006345236,8.076215189,1.306854589,1.050287789,0.078233824,87.0403117,0.160645072
20,0.230376163,0.589288119,0.180307562,6.769976296,1.825591713,0.081407883,1.257540657,0.006258269,8.099911949,1.277774319,1.05187183,0.076361868,86.56558371,0.156605324
21,0.253082176,0.556213275,0.190684306,7.060912613,1.827837509,0.084559201,1.257259969,0.006499014,8.124633799,1.326458315,1.053028825,0.079218409,86.77242913,0.160505442
22,0.254636323,0.566842513,0.17847806,6.943516596,1.82743244,0.082152994,1.257120853,0.006460224,8.151971689,1.307385303,1.054762588,0.077937567,86.35842344,0.157288101
23,0.246932241,0.5987837,0.154187414,7.010505617,1.825748116,0.076721632,1.257006624,0.006291198,8.184716497,1.253024146,1.057016706,0.074451222,85.59866637,0.149512662
24,0.148403204,0.5599012,0.291808704,6.282646791,1.823748199,0.097952065,1.259810726,0.005734958,7.714093865,1.295606865,1.028507984,0.079121972,90.74854288,0.173098903
25,0.145513369,0.604272418,0.250308696,6.175019892,1.821823485,0.090389301,1.259542995,0.00556884,7.791165204,1.240711372,1.033565546,0.075614828,89.39485429,0.167145026
26,0.143466062,0.629169495,0.227432998,5.912217354,1.820698004,0.086028896,1.259382953,0.005465866,7.832614569,1.206398225,1.03628696,0.073413543,88.65011409,0.162957646
27,0.165846389,0.590172749,0.244011069,5.806028185,1.823082526,0.090342117,1.259092596,0.005810367,7.843912295,1.27082326,1.036553381,0.077128913,89.0597639,0.167259949
28,0.169251214,0.616506605,0.214244012,5.453185258,1.822113154,0.084942011,1.258793996,0.005748719,7.910029053,1.235266575,1.040767835,0.07472212,88.05469527,0.161705595
29,0.161623436,0.643389517,0.194987047,5.732689402,1.820729357,0.080795022,1.258778934,0.005585798,7.933272778,1.192471975,1.042430262,0.072066801,87.46483194,0.156886607
30,0.17936164,0.601957852,0.218680508,6.188810583,1.823096152,0.086336848,1.258660977,0.0058835,7.921362265,1.259358844,1.041301314,0.076094082,88.14028691,0.163193405
31,0.1758,0.6383,0.1859,6.014181009,1.8215,0.079777334,1.2584885,0.005720557,7.9798,1.202660368,1.045171,0.072426313,87.0799,0.155335336
32,0.183664909,0.652994623,0.163340468,6.369338395,1.821226811,0.075614637,1.258204745,0.005720173,8.040648883,1.177441793,1.048968879,0.070581415,86.28824598,0.149359905
33,0.197180642,0.615460188,0.18735917,6.232364544,1.823268818,0.081195798,1.258156624,0.005961675,8.019642943,1.240069919,1.047333178,0.074465722,86.99976877,0.156817984
34,0.199087755,0.638573469,0.162336735,6.300345817,1.822416816,0.076203061,1.257948382,0.005880573,8.073485714,1.200123076,1.050793735,0.071776175,86.16241837,0.1498138
35,0.197258014,0.662054734,0.140625289,6.306213758,1.82129412,0.071457747,1.257750176,0.005770589,8.112769747,1.157023599,1.053352033,0.068932694,85.45200553,0.142506205
36,0.223449678,0.622690041,0.153788236,6.889952224,1.823897822,0.075561534,1.257410546,0.006082924,8.138746523,1.220467016,1.054511346,0.072675484,85.72840601,0.148272406
37,0.222256122,0.637313265,0.140331633,6.080038683,1.823215592,0.072598944,1.257301509,0.006013442,8.163057143,1.193106252,1.056101133,0.07086895,85.28929082,0.143574236
38,0.221749211,0.653865743,0.124266631,5.9870378,1.822497455,0.069005563,1.257172676,0.005936841,8.194017838,1.160193257,1.058113415,0.068668906,84.76059351,0.137401098
39,0.134268322,0.638074816,0.227748202,5.10610303,1.820015806,0.085568054,1.259561033,0.00533993,7.813770961,1.188745493,1.035258156,0.072480767,88.71757063,0.162496849
40,0.13602814,0.65744891,0.206580194,4.525281235,1.819248496,0.081628021,1.259341737,0.00529216,7.859353836,1.162120607,1.038167775,0.070680477,88.00567148,0.158207047
41,0.13475202,0.695268185,0.169990119,5.879265506,1.817598349,0.074262596,1.259046906,0.005140769,7.929606392,1.101817462,1.042734847,0.066711266,86.80200833,0.14884136
42,0.140310519,0.66447531,0.195247478,5.297762966,1.819094693,0.079658411,1.25916373,0.005310735,7.890392536,1.153325705,1.040086957,0.06998915,87.60403479,0.155806225
43,0.136590729,0.702939683,0.160464178,4.689583195,1.817336087,0.072393629,1.258930981,0.005129501,7.952209822,1.089008655,1.044158956,0.065806845,86.47532988,0.146105029
44,0.133590555,0.71541317,0.150995892,5.497869353,1.816726391,0.070230521,1.25891904,0.005050763,7.965186265,1.066364856,1.045065093,0.06437334,86.18128972,0.142944071
45,0.157518114,0.676513567,0.165922928,6.066897687,1.819156663,0.074693362,1.258583979,0.005424565,7.982827247,1.13731338,1.045709352,0.068498651,86.52662592,0.1488296
46,0.157964999,0.698438811,0.143498178,4.829168682,1.818200706,0.069960251,1.258353553,0.005340764,8.028149551,1.097732248,1.048618475,0.065839739,85.77961291,0.141635392
47,0.152547957,0.714282799,0.133100196,5.003718838,1.817403559,0.067409711,1.258403934,0.005229323,8.038343143,1.068213442,1.04940475,0.06399184,85.47135686,0.137614714
48,0.183895863,0.680516633,0.13555043,5.586985249,1.820066952,0.069678363,1.257959805,0.005606842,8.09639427,1.126248547,1.052568061,0.067150183,85.36674889,0.140021629
49,0.17524307,0.708449152,0.116209783,5.347825254,1.818491445,0.064841053,1.257886105,0.005427453,8.117282611,1.073252515,1.054066571,0.063773121,84.77542878,0.131941357
50,0.174483947,0.71434891,0.111126863,5.396178335,1.818331287,0.063658788,1.257935392,0.005395145,8.126391929,1.061313442,1.054704448,0.062982292,84.61697986,0.129692303
51,0.198151619,0.677103979,0.124683578,5.957871453,1.820729991,0.067981138,1.257625722,0.00570974,8.146449496,1.126831624,1.055523948,0.066884719,84.92066083,0.13649347
52,0.193313115,0.695429841,0.111238561,5.83125304,1.819881323,0.064682849,1.257662372,0.005598902,8.164001248,1.091449175,1.056784023,0.064596697,84.50947827,0.130588669
53,0.194572561,0.69836048,0.107061494,4.66398567,1.819838427,0.06377528,1.257629383,0.005592623,8.174978413,1.084390753,1.057479249,0.064090888,84.36514578,0.128758292
54,0.131576572,0.718344712,0.150079072,5.370656768,1.816529928,0.069916768,1.258945776,0.005018989,7.962997842,1.060779527,1.044963517,0.064054999,86.16317908,0.14254043
55,0.127131275,0.731773084,0.141102145,5.349198799,1.815826294,0.067726849,1.258961809,0.004919871,7.972110288,1.035448186,1.04564799,0.06248132,85.89411641,0.139258465
56,0.119995245,0.747738187,0.132288904,5.355324351,1.814931382,0.065370687,1.259034243,0.004779695,7.975591375,1.004256993,1.046025373,0.060594069,85.64739397,0.135706816
57,0.131199842,0.729956538,0.13884362,4.726026036,1.816049732,0.067474882,1.258872708,0.004968394,7.984712443,1.039201684,1.046382312,0.062616991,85.79464042,0.138661474
58,0.13066711,0.743643019,0.125690548,5.618831248,1.815482208,0.064529942,1.258790012,0.004906332,8.009958535,1.012586572,1.048034321,0.060838932,85.36384086,0.133703124
59,0.127429445,0.75805139,0.114552354,5.272239675,1.814836189,0.061809882,1.258804813,0.004812977,8.026019688,0.983495811,1.049160281,0.058966664,85.01837246,0.128977437
60,0.146836516,0.742391031,0.110802303,5.234917124,1.816232745,0.06208489,1.258463844,0.005059687,8.072307234,1.012601419,1.051779061,0.060383999,84.77790469,0.128266192
61,0.152036638,0.745546186,0.102481436,4.897690857,1.816377856,0.06043377,1.258365751,0.005088924,8.099624483,1.004116689,1.053468916,0.059665862,84.47493685,0.124706232
